Frequency_Hz,PSD
-6240234.375,3.486908967e-09
-6235351.562,9.814496235e-09
-6230468.75,8.832040541e-09
-6225585.938,2.670511862e-08
-6220703.125,1.174252824e-08
-6215820.312,3.699807411e-09
-6210937.5,2.827377059e-09
-6206054.688,1.082701265e-08
-6201171.875,2.590622856e-10
-6196289.062,1.698164005e-09
-6191406.25,9.753133418e-10
-6186523.438,2.379456209e-08
-6181640.625,1.574266439e-08
-6176757.812,1.164538115e-08
-6171875,2.379883173e-08
-6166992.188,6.963981845e-09
-6162109.375,2.736752995e-08
-6157226.562,1.094112959e-08
-6152343.75,5.983018281e-10
-6147460.938,2.66113931e-08
-6142578.125,5.66642643e-09
-6137695.312,2.364493332e-08
-6132812.5,2.423251467e-09
-6127929.688,1.400258433e-08
-6123046.875,1.139513506e-08
-6118164.062,1.888447544e-08
-6113281.25,1.35345392e-09
-6108398.438,5.515433597e-09
-6103515.625,1.323284429e-08
-6098632.812,3.979153968e-08
-6093750,2.372453946e-10
-6088867.188,1.467992209e-08
-6083984.375,1.143458456e-08
-6079101.562,2.02130828e-08
-6074218.75,2.273865691e-09
-6069335.938,1.400307051e-08
-6064453.125,1.881375291e-08
-6059570.312,4.906343806e-09
-6054687.5,1.162796949e-08
-6049804.688,1.622421438e-08
-6044921.875,1.699712416e-08
-6040039.062,2.234591732e-08
-6035156.25,1.310715737e-08
-6030273.438,2.67375792e-09
-6025390.625,1.29612143e-08
-6020507.812,2.919179625e-08
-6015625,4.083670688e-09
-6010742.188,2.264280282e-08
-6005859.375,6.68186564e-09
-6000976.562,8.177093221e-09
-5996093.75,3.374757855e-10
-5991210.938,5.104696562e-09
-5986328.125,2.152890077e-09
-5981445.312,5.241294217e-09
-5976562.5,1.424662816e-09
-5971679.688,1.880959733e-08
-5966796.875,1.635661696e-08
-5961914.062,4.451354917e-09
-5957031.25,4.476388485e-09
-5952148.438,7.58005436e-09
-5947265.625,1.161280799e-09
-5942382.812,3.787077137e-09
-5937500,9.514396864e-09
-5932617.188,1.71061861e-08
-5927734.375,1.233264338e-09
-5922851.562,5.256194596e-09
-5917968.75,2.445161287e-09
-5913085.938,3.390557175e-09
-5908203.125,2.402608893e-08
-5903320.312,3.128763504e-08
-5898437.5,1.570308747e-08
-5893554.688,1.195709779e-08
-5888671.875,7.652402883e-09
-5883789.062,4.6210498e-09
-5878906.25,7.580717894e-09
-5874023.438,4.883008551e-10
-5869140.625,2.59174856e-09
-5864257.812,2.826994896e-08
-5859375,3.877959076e-08
-5854492.188,3.990814604e-09
-5849609.375,7.760042368e-10
-5844726.562,2.12605292e-09
-5839843.75,5.340497775e-08
-5834960.938,5.386948478e-09
-5830078.125,4.756604652e-10
-5825195.312,2.70687296e-08
-5820312.5,7.264543953e-09
-5815429.688,2.72411039e-08
-5810546.875,1.578756536e-08
-5805664.062,4.09491631e-09
-5800781.25,8.175379947e-09
-5795898.438,1.626963693e-10
-5791015.625,8.16808299e-09
-5786132.812,1.846404485e-09
-5781250,2.284588364e-09
-5776367.188,1.187891219e-08
-5771484.375,1.355475574e-08
-5766601.562,4.207586829e-08
-5761718.75,2.016538839e-09
-5756835.938,1.077656603e-08
-5751953.125,7.263989948e-09
-5747070.312,8.429437385e-09
-5742187.5,1.836389582e-08
-5737304.688,1.338829241e-09
-5732421.875,2.075778927e-08
-5727539.062,5.369804183e-09
-5722656.25,3.743261362e-08
